seg,seg,cj1_cou,cj1_sum,cj1_rat,cj2_cou,cj2_sum,cj2_rat,cj3_cou,cj3_sum,cj3_rat,cj4_cou,cj4_sum,cj4_rat,cj5_cou,cj5_sum,cj5_rat,cj6_cou,cj6_sum,cj6_rat,cj7_cou,cj7_sum,cj7_rat,cj8_cou,cj8_sum,cj8_rat,cj9_cou,cj9_sum,cj9_rat,cj10_cou,cj10_sum,cj10_rat
20,20,280,15165,0.02776694442766038,22,6513,0.08082349875283869,242,9796,0.12452173028766096,564,14241,0.026152300745031137,883,20790,0.038094714564494404,983,13599,0.1936848401982567,625,8445,0.015526208865658305,214,6292,0.011569728207004724,1972,20649,0.03789620891090381,70,8767,0.016173904059803044
21,21,76,15241,0.027906099572830325,32,6545,0.08122060484221237,2186,11982,0.1523090416809671,688,14929,0.027415750145535413,1253,22043,0.040390658640940366,1007,14606,0.2080271178715889,57,8502,0.01563100388109259,0,6292,0.011569728207004724,1934,22583,0.04144559474235753,36,8803,0.016240319087309933
22,22,309,15550,0.02847187509727128,24,6569,0.08151843440924264,139,12121,0.15407593842555517,730,15659,0.028756328724558848,1120,23163,0.042442899156199324,1078,15684,0.22338061869765852,776,9278,0.017057686898233008,266,6558,0.012058848948114587,2194,24777,0.04547214723160752,83,8886,0.01639344262295082
23,23,114,15664,0.028680607815026193,38,6607,0.0819899978903739,365,12486,0.1587156313160203,876,16535,0.03036502301938697,1233,24396,0.044702196080587085,1161,16845,0.2399162536318578,83,9361,0.017210283148777667,0,6558,0.012058848948114587,2440,27217,0.04995017278938781,76,8962,0.016533652125465367
24,24,355,16019,0.029330608822070007,27,6634,0.08232505615328295,2466,14952,0.19006215917324487,946,17481,0.03210226594508035,1451,25847,0.04736094696240918,1109,17954,0.25571127442602404,908,10269,0.018879649359555373,323,6881,0.012652781276605135,2753,29970,0.05500263359289976,115,9077,0.01674581124111238
25,25,137,16156,0.02958145428112635,32,6666,0.08272216224265665,209,15161,0.19271886003381256,1126,18607,0.03417006249299869,1503,27350,0.05011498043958259,1163,19117,0.27227539451945537,147,10416,0.019149910188833264,0,6881,0.012652781276605135,2772,32742,0.06008996426755835,106,9183,0.016941366599882667
26,26,407,16563,0.03032666670328644,32,6698,0.08311926833203033,552,15713,0.19973560106268035,1178,19785,0.036333352309559794,1644,28994,0.053127376338766276,1247,20364,0.2900358913006324,1025,11441,0.021034381957607658,397,7278,0.013382784788712711,3091,35833,0.06576274172620544,156,9339,0.017229165052412527
27,27,182,16745,0.03065990665619341,37,6735,0.08357842224786866,2484,18197,0.2313109356925854,1338,21123,0.03879046756809864,1791,30785,0.0564091288055777,1220,21584,0.30741183843217684,198,11639,0.021398406748063592,0,7278,0.013382784788712711,3169,39002,0.07157866918219141,146,9485,0.01749851488619047
28,28,498,17243,0.03157173905480699,30,6765,0.0839507092066565,251,18448,0.23450151902274086,1509,22632,0.04156160876775119,1930,32715,0.05994557897919358,1225,22809,0.3248589984618014,1245,12884,0.023687350506233464,533,7811,0.014362865070711045,3396,42398,0.07781119983556103,227,9712,0.01791729853185892
29,29,265,17508,0.032056951074149555,28,6793,0.08429817703485847,718,19166,0.24362836695521742,1599,24231,0.04449802677851622,2077,34792,0.0637513857204372,1157,23966,0.3413376630775366,245,13129,0.024137785221696614,0,7811,0.014362865070711045,3620,46018,0.08445482791718589,210,9922,0.018304719525649115
